Data e Ora UTC; Magnitudo; Profondità; Lat. e Lon
08-12-2022 06:34; 3.4;38km; -37.77 e -73.22
08-12-2022 06:05; 4.4; 247 km; -23.57 e -66.98
08-12-2022 00:11; 3.2; 224 km; -24.27 e -67.49
07-12-2022 21:12; 3.4; 124 km; -21.17 e -68.54
07-12-2022 20:46; 3.4; 227 km; -24.12 e -67.72
07-12-2022 18:22; 3.2;	17 km; 9.61 e -84.95
07-12-2022 13:04; 3.0; 118 km; -21.08 e -68.84
07-12-2022 12:36; 3.5; 8 km; -15.78 e -71.64
07-12-2022 11:18; 3.1; 225 km; -24.14 e -68.04	
07-12-2022 11:08; 4.2; 184 km; -21.40 e -67.32







TERREMOTI IN SUDAMERICA - EVENTI SISMICI A PARTIRE DAL PIÙ RECENTE IN POI 

